timestamp,selection,distance_change,bearing
1754394019710216900,5C19,5C19,5C19
1754394026708428400,DC0F,DC0F,DC0F
1754394033529819900,96BB,96BB,96BB
1754394042021093000,5C19,5C19,5C19
1754394049191339200,DC0F,DC0F,DC0F
1754394056291573300,96BB,96BB,96BB
1754394063580036100,DC0F,DC0F,DC0F
1754394071683055400,5C19,5C19,5C19
1754394079993991600,DC0F,DC0F,DC0F
1754394088041296000,5C19,5C19,5C19
1754394094174906200,96BB,96BB,96BB
1754394099789314800,5C19,5C19,5C19
1754394108432265200,5C19,5C19,5C19
1754394115000207700,DC0F,DC0F,DC0F
1754394122781751300,96BB,96BB,96BB
1754394132689649400,96BB,96BB,96BB
1754394139064899500,DC0F,DC0F,DC0F
1754394145370536800,96BB,96BB,5C19
1754394153313975800,DC0F,DC0F,DC0F
1754394159710066800,5C19,5C19,5C19
